Player,Team,Year,Pos,Archetype,DBPM,mean,Total Minutes,BPM,RAPM
ASHLEY ROBINSON,SEA,2006,C,Roller/Cutter,3.560325886794696,-3.0480324995644454,324.79999999999995,0.6865837045761869,-10.999255022356722
TAMARA STOCKS,WAS,2001,PowerF,Roller/Cutter,3.559806836447751,41.81045045367715,11.1,0.19872820609246045,43.7205408024906
JENNIFER HAMSON,IND,2017,C,Roller/Cutter,3.54818834920988,1.7812071898682802,86.4,2.1318793910260334,7.4378789255727025
KORIE HLEDE,NYL,2002,G,Secondary Creator/Distributor,3.5455814400797503,-7.910886297404398,131.2,-5.286902864030987,-9.301486566658523
JACQUELINE BATTEAST,MIN,2005,F,Secondary Creator/Distributor,3.5300288081739737,8.778765883478606,45.6,-20.104087283884617,5.8529177640730365
MARGO DYDEK,CON,2005,C,Roller/Cutter,3.514100309422439,7.489870212111733,672.6999999999999,1.9386074252727106,10.581893433395997
TAMMY JACKSON,HOU,1999,PowerF,Roller/Cutter,3.509369515238213,3.762844783928244,383.6,-1.2091708242054948,1.2690179499885934
ASHLEY WALKER,SEA,2009,PowerF,Interior Primary Option,3.500555875102907,-5.667243868089899,89.7,-4.084735916257488,-20.149556280992797
MARCIE ALBERTS,CLE,1997,G,Spot-up Shooter,3.4972104359269784,13.865663036005513,30.5,,
SUE WICKS,NYL,2001,F,Roller/Cutter,3.496127640756058,5.479876418538263,600.0,-5.421498214817998,5.640842818029774
ARMINTIE HERRINGTON,ATL,2009,G,Roller/Cutter,3.4750968376628917,-5.999800221107848,422.4,-5.09043694823196,-15.008792402003635
ALAINA COATES,ATL,2019,C,Roller/Cutter,3.4749283722688498,6.696122227288593,167.9,8.723737865295305,6.707805724598904
YOLANDA MOORE,ORL,1999,PowerF,Roller/Cutter,3.4736670990429452,-5.194746921928415,112.7,-1.1574658079897677,-4.349552102034133
ALEX HARDEN,PHO,2015,G,Secondary Creator/Distributor,3.449985960198916,7.65369926112223,390.4,-4.0421824307759975,1.0983108924995149
