Player,Team,Year,Pos,Archetype,OBPM,mean,Total Minutes
KYM HAMPTON,NYL,1998,C,Interior Primary Option,-4.511523870550019,-2.342554394466572,744.0
DIAMOND DESHIELDS,CHI,2021,G,Secondary Creator/Distributor,-4.514650558451457,-3.3513896032787875,860.8
LAUREN JACKSON,SEA,2012,PowerF,Perimeter-Oriented Big/Wing,-4.5163964866500095,7.656613746518075,166.5
BRITTNEY SYKES,ATL,2019,G,Primary On-Ball Creator,-4.517648895119432,-1.940045822184659,880.5999999999999
MARLIES ASKAMP,MIA,2000,C,Interior Primary Option,-4.519500619038443,-8.648015848955207,870.4
CLARISSE MACHANGUANA,LAS,1999,PowerF,Roller/Cutter,-4.5196815869663824,-2.3361587988067343,243.59999999999997
STEPHANIE TALBOT,MIN,2019,F,Spot-up Shooter,-4.520766336645919,-9.237904282030255,561.0
SHERI SAM,CHA,2006,SG,Secondary Creator/Distributor,-4.522714494853855,-2.1429022270252354,989.4
KELLY SCHUMACHER,IND,2002,C,Roller/Cutter,-4.523059900071212,-5.479288611544822,353.40000000000003
TAMMY SUTTON-BROWN,IND,2012,C,Roller/Cutter,-4.52432399884604,-1.88364613487885,541.1999999999999
KARA BRAXTON,NYL,2012,PowerF,Interior Primary Option,-4.527598841189048,4.140700735754832,533.8
TEXLIN QUINNEY,IND,2000,F,Roller/Cutter,-4.529653212175269,-7.117802335849363,117.3
CAPPIE PONDEXTER,IND,2018,G,Secondary Creator/Distributor,-4.530882301873476,-7.788867013393477,546.0
DANIELLE ADAMS,SAN,2015,PowerF,Secondary Creator/Distributor,-4.533586214507256,-6.775229062584631,483.00000000000006
ODYSSEY SIMS,LAS,2018,G,Secondary Creator/Distributor,-4.53491450792206,-1.8631989773839583,867.0
JESSIE HICKS,ORL,2001,PowerF,Interior Primary Option,-4.535450589737441,-8.155572890393763,460.8
MONICA WRIGHT,MIN,2014,G,Secondary Creator/Distributor,-4.5374882108459005,-0.535040137415636,441.6
LEILANI MITCHELL,NYL,2009,G,Spot-up Shooter,-4.540913375760732,-2.8569557785489925,435.2000000000001
KIARA LESLIE,WAS,2020,G,Secondary Creator/Distributor,-4.54094035945692,-5.72208499743671,414.2
SHEKINNA STRICKLEN,ATL,2020,F,Spot-up Shooter,-4.541910239493918,-3.8413879452158746,477.4
ALEX MONTGOMERY,CHI,2018,SG,Secondary Creator/Distributor,-4.544881344761281,-6.003495713274569,121.6
MATEE AJAVON,WAS,2013,G,Primary On-Ball Creator,-4.546145873188939,-1.383336722686109,771.8
MISTIE BASS,CHI,2010,F,Roller/Cutter,-4.546962712848284,-1.5274654192941952,642.5999999999999
GRACE DALEY,HOU,2002,G,Secondary Creator/Distributor,-4.548913440291318,0.6902440825395839,181.7
LINDA BURGESS,SAC,2000,F,Interior Primary Option,-4.550229960614087,-13.610092491947968,39.5
MARIE FERDINAND-HARRIS,LAS,2010,G,Secondary Creator/Distributor,-4.5519364793625785,-6.0834943129128565,729.0
SHARON MANNING,CHA,1999,PowerF,Roller/Cutter,-4.555030140161358,-8.07298730401956,518.4
NIA COFFEY,ATL,2019,F,Secondary Creator/Distributor,-4.558359143624912,-3.579596059224517,389.2
TAMMY SUTTON-BROWN,CHA,2006,C,Interior Primary Option,-4.560452721461234,-4.031506225748655,801.0
NICOLE OHLDE,MIN,2007,PowerF,Interior Primary Option,-4.561972790839612,1.891002113286222,921.4
ASHLEY ROBINSON,SEA,2009,C,Roller/Cutter,-4.56408091395623,-13.300431791046469,166.4
RAMU TOKASHIKI,SEA,2015,F,Interior Primary Option,-4.56461888149651,-1.865172255101847,618.0
CAMILLE SMITH,SEA,2011,F,Interior Primary Option,-4.564880386369203,-1.7454562466950765,887.6999999999999
BRIDGET PETTIS,PHO,1997,G,Primary On-Ball Creator,-4.570593955093397,1.049893189165525,831.6
ERICA WHEELER,IND,2016,G,Primary On-Ball Creator,-4.571759087405902,-3.9122259955630687,812.5999999999999
