Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
TAMMY SUTTON-BROWN,2011,C,Roller/Cutter,3.9600421718849734,1.2065792252618477,-1.166866727208963,-2.0092521622348753
KAYTE CHRISTENSEN,2005,F,Roller/Cutter,3.9429390991811437,14.415565011723098,2.104137463829984,8.554281751818294
KAREN BOOKER,1997,C,Roller/Cutter,3.9307682947571307,-1.2316258520250811,1.7556312712309734,-2.008578618210529
KORIE HLEDE,2002,G,Secondary Creator/Distributor,3.8866264710912084,-7.910886297404398,-1.495793555527583,-21.651254275212203
ALANA BEARD,2018,SG,Roller/Cutter,3.8754775747730545,4.2607860585694475,5.290771119481603,10.535573241456309
NAKIA SANFORD,2005,PowerF,Roller/Cutter,3.8487091510470233,11.014008298914666,-3.1350775200468517,-0.48800335343113055
CHRISTI THOMAS,2009,PowerF,Roller/Cutter,3.8392661340394105,3.7826792571991192,-4.088730248303467,-2.5836181453808726
ASHLEY JOENS,2023,G,Spot-up Shooter,3.8163481273927173,-8.52641764030266,-4.031221959854819,-9.733608123357374
EMILIE GOMIS,2006,G,Secondary Creator/Distributor,3.8042484584350738,-5.887245238348481,-7.0261516535872435,-36.533659462528874
KAYTE CHRISTENSEN,2004,F,Roller/Cutter,3.8015532431658463,2.2057926331857765,-0.5579385029694888,-1.1282927868136392
KEISHA ANDERSON,2001,G,Secondary Creator/Distributor,3.80143344927796,11.503690225294582,-10.415452002603411,1.9676993324960854
HAJDANA RADUNOVIC,2001,C,Roller/Cutter,3.799778656357631,23.205467894997504,,
EUGENIA RYCRAW,1998,C,Roller/Cutter,3.7800469786144477,6.812440605210242,3.058268077501884,3.8868503418034557
SUE WICKS,2002,F,Roller/Cutter,3.7314472676841652,5.577862061169772,-4.121723560461653,-1.0794884381972842
ROMANA HAMZOVA,2000,G,Secondary Creator/Distributor,3.7239798647072018,-11.179345236644297,-6.728954878311308,-40.23659833398772
TAMIKA CATCHINGS,2007,F,Primary On-Ball Creator,3.7021665691934587,8.191573635475809,2.747382824489058,13.005681777241403
KHADIJAH WHITTINGTON,2008,F,Roller/Cutter,3.6930875016627702,13.34294642109664,3.923780188193082,12.142842470225773
TIFFANY JACKSON,2014,F,Roller/Cutter,3.607684833473422,0.3423658235878961,-15.556540173356728,-19.393259318225248
ADRIANNE ROSS,2008,G,Roller/Cutter,3.584262188377343,-8.174889086549085,,
ERICA WHEELER,2015,G,Secondary Creator/Distributor,3.583196548572379,-2.2406600955364646,-5.866528337075447,-12.08538631845065
KISHA FORD,1999,SG,Roller/Cutter,3.571472258590639,14.864699249676155,4.590075699554237,13.71816173540262
ALISON BALES,2008,C,Roller/Cutter,3.5642788762884896,0.7085057273707982,2.09311984917374,0.8660297524638946
NATASHA LACY,2014,G,Secondary Creator/Distributor,3.564149449706118,14.438662958013133,6.689601715703829,2.6251660683249973
KIAH STOKES,2023,C,Roller/Cutter,3.5485532940711226,5.619811773965486,0.09351526043314307,3.852983804968076
SUE WICKS,2001,F,Roller/Cutter,3.5458073632951863,5.479876418538263,1.1971103016276907,8.74879888448213
JAE KINGI-CROSS,2004,G,Secondary Creator/Distributor,3.541100491845429,-2.5837327171307294,1.4656638620307345,-4.223307418616625
RUSHIA BROWN,1997,F,Roller/Cutter,3.511467841915408,5.603387712630324,-1.006009203723086,3.569532767283025
SONJA HENNING,2003,G,Secondary Creator/Distributor,3.4972833606420037,3.8436877873198902,-2.247326710139819,1.675878573091691
AMY SANDERS,2007,G,Roller/Cutter,3.478476564437624,13.626705073157751,,
CORISSA YASEN,1997,G,Roller/Cutter,3.4781549645205057,1.4265611124576898,0.6378263009965512,-2.781100271960728
NANCY LIEBERMAN,2008,G,Secondary Creator/Distributor,3.477503481220755,15.300606695143722,,
AWAK KUIER,2021,F,Secondary Creator/Distributor,3.4519803143394063,-1.3454652525968136,0.33005009107899363,6.888366272789867
VANESSA HAYDEN,2005,C,Interior Primary Option,3.425818991952909,5.548229205093265,1.851011621103178,5.7824664881343075
LACHARLOTTE SMITH,2000,G,Secondary Creator/Distributor,3.4171693291854153,37.07429729927158,-19.354856169807277,-65.64363901028622
KIESHA BROWN,2007,G,Spot-up Shooter,3.3948249425970327,-1.8364989897628248,-1.1983739517796121,-4.164363553414482
MACTABENE AMACHREE,2005,F,Secondary Creator/Distributor,3.387281317312469,-3.8970253907813177,,
KARA BRAXTON,2006,PowerF,Interior Primary Option,3.383887379861021,1.7845817965030168,1.159463595297574,6.9714559963129235
KRISTINE ANIGWE,2023,PowerF,Roller/Cutter,3.380187170298081,2.9165917143459157,-4.498352848312748,-8.767272238573176
JENNY MOWE,2002,C,Roller/Cutter,3.374050152074259,-7.862864027481581,-12.159275866167546,-45.54984402971774
TOCCARA WILLIAMS,2004,G,Secondary Creator/Distributor,3.357752465184579,-2.5757539238605247,-2.6468718928501977,-5.744750030018782
