Player,Year,Pos,Archetype,BPM,RAPM
KARA LAWSON,2014,G,Spot-up Shooter,-7.066166296965979,-4.1197973864898945
TAI DILLARD,2003,G,Secondary Creator/Distributor,-7.070941008537041,-6.245420881430274
GRACE DALEY,2002,G,Secondary Creator/Distributor,-7.078165651243595,-10.798368156457695
KENNEDY BURKE,2020,SG,Secondary Creator/Distributor,-7.079759223386466,-1.875489350677574
ADRIENNE JOHNSON,2003,G,Secondary Creator/Distributor,-7.080422803482387,-7.705326818662467
ASTOU NDIAYE-DIATTA,2002,F,Interior Primary Option,-7.0876228708614715,5.001573063919643
DIANA TAURASI,2024,G,Primary On-Ball Creator,-7.0920725120625825,-0.9796334638240423
JAMIE REDD,2002,F,Spot-up Shooter,-7.093371051110679,-24.359810291527562
MICHELE VAN GORP,2000,C,Roller/Cutter,-7.096998804498865,-5.89998903123872
CAYLA GEORGE,2018,PowerF,Spot-up Shooter,-7.097169669753987,2.5828417135092256
SYLVIA FOWLES,2008,C,Interior Primary Option,-7.097224295583347,-8.720771817333542
NOELLE QUINN,2014,G,Secondary Creator/Distributor,-7.104309410890694,-2.616273392286809
VANESSA HAYDEN,2008,C,Interior Primary Option,-7.114075892244456,1.6963566829798271
KELSEY BONE,2015,C,Interior Primary Option,-7.1179079226366095,-2.6406292873875685
JANETH ARCAIN,1998,G,Secondary Creator/Distributor,-7.119658304213149,0.9287655968873798
ODYSSEY SIMS,2023,G,Secondary Creator/Distributor,-7.121725608617474,0.16346198014261382
DAEDRA CHARLES,1997,PowerF,Roller/Cutter,-7.124715338945105,1.8834261562366703
NIKKI MCCRAY,2001,G,Primary On-Ball Creator,-7.125042176845355,4.931246104373168
