player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year
Destanni Henderson,ATL,G,6,105,0,4.9,14.3,0.345,0.5,4.9,0.1,4.4,9.4,0.474,1.5,3.5,0.429,0,5.9,7.4,1,0.5,4.9,2.5,11.9,2024
Natisha Hiedeman,MIN,G,40,607,0,6.2,16.3,0.38,2,7,0.28,4.2,9.3,0.455,2.1,2.9,0.735,1.3,5.3,8.1,2.7,0.5,3.7,4.2,16.5,2024
Naz Hillmon,ATL,F,40,868,19,5.4,9.7,0.552,0.1,0.2,0.333,5.3,9.6,0.556,2.9,3.8,0.762,3.8,11.5,3.1,1.7,0.7,2.3,3.2,13.7,2024
Joyner Holmes,SEA,F,27,231,0,7.2,17,0.423,1.3,6.8,0.194,5.9,10.2,0.574,1.5,2.4,0.636,3.1,10.7,5.5,1.3,1.3,4.6,6.1,17.2,2024
Jordan Horston,SEA,F,39,871,14,6.4,13,0.493,0.8,3,0.25,5.7,10,0.566,1.8,2.5,0.721,2.7,9.7,4,2.9,1.5,3.8,4.2,15.4,2024
Natasha Howard,DAL,F,27,825,26,11.3,24.8,0.456,0.7,3.3,0.2,10.7,21.5,0.496,5.4,7.5,0.718,3.2,11,4.7,2.1,1.3,4.6,5.1,28.7,2024
Rhyne Howard,ATL,G,30,1018,29,8.5,22.9,0.371,4.1,12.4,0.329,4.4,10.6,0.42,5.4,6.8,0.784,1.3,6.7,4.8,2.8,1,2.6,3.2,26.5,2024
Lexie Hull,IND,G,34,671,11,4.5,10.2,0.441,2.5,5.2,0.471,2,4.9,0.409,2.5,3.1,0.805,2.5,6.3,2.7,1.6,0.8,2.2,6.3,13.9,2024
Sabrina Ionescu,NYL,G,38,1221,38,10,25.5,0.394,4.5,13.5,0.332,5.5,12,0.463,4.4,5,0.898,1.2,7.1,9.9,1.6,0.5,4.4,1.9,29,2024
Rickea Jackson,LAS,F,40,1152,35,8.8,19.2,0.456,1.9,5.4,0.347,6.9,13.8,0.498,4,5,0.807,2.2,6.8,2.6,1.2,0.6,3.3,3.1,23.4,2024
Brionna Jones,CON,F,40,1087,40,10.7,19.8,0.539,0.1,0.7,0.143,10.6,19.1,0.553,5.2,7,0.738,4.2,10.7,2.9,2.2,1.1,2.5,5.1,26.6,2024
Haley Jones,ATL,F-G,40,712,24,4.2,10.6,0.397,0.4,2,0.214,3.8,8.6,0.441,2.4,3.4,0.702,0.7,6.4,6.1,1,0.8,5,5.8,11.3,2024
Jonquel Jones,NYL,C,39,1164,39,9.1,16.8,0.539,2.6,6.6,0.391,6.5,10.2,0.636,3.6,4.6,0.788,2.9,15.4,5.5,1.3,2.2,4,5,24.3,2024
Dorka Juhász,MIN,F,34,548,7,6.5,13.5,0.479,1,3.2,0.324,5.5,10.3,0.527,1.2,1.9,0.65,3,12.1,3.4,1.4,1.2,2,3.7,15.2,2024
