"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Michelle Snow","ATL",34,503,1033,17.909002904162634,6.48596321393998,13.359148112294289,0.4855072463768116,0,0.1936108422071636,0,0,4.937076476282672,8.325266214908035,4.646660212971926,0,0,0.6417910447761194,0.7818181818181819,0,0.014285714285714285,0.4564882142857143,0.4785714285714286,0.5377906976744186,2.323330106485963,0.5808325266214908,0.043478260869565216,0,0,17.656903765690377
"Kelly Miller","ATL",30,493,1026,10.428849902534113,0.7797270955165692,3.6062378167641325,0.21621621621621623,2.2417153996101367,6.822612085769981,0.32857142857142857,0.3382352941176471,2.1442495126705654,0.5847953216374269,0.9746588693957114,4.970760233918129,1.7543859649122806,0.375,0.375,0.7391304347826086,0.6542056074766355,0.5075697115384615,0.397196261682243,0.4449152542372881,0,0.29239766081871343,0.08108108108108109,0,0,12.439807383627608
"Maite Cazorla","ATL",31,477,923,9.967497291440953,1.733477789815818,4.117009750812568,0.42105263157894735,1.408450704225352,5.958829902491875,0.23636363636363636,0.24074074074074073,2.275189599133261,1.3001083423618636,2.1668472372697725,3.9003250270855903,0.3250270855904659,0.375,0.375,0.9230769230769231,0.5913978494623656,0.493604347826087,0.3817204301075269,0.4320388349514563,0,0.3250270855904659,0.07894736842105263,0,0,12.163416898792944
"Roneeka Hodges","ATL",23,448,885,16.72316384180791,2.598870056497175,6.327683615819209,0.4107142857142857,3.0508474576271185,8.474576271186441,0.36,0.36,2.3728813559322033,3.84180790960452,1.3559322033898304,8.474576271186441,0.6779661016949152,0.7391304347826086,0.7727272727272727,0.9259259259259259,0.5725190839694656,0.5122828244274809,0.4847328244274809,0.5138888888888888,0.22598870056497175,0.3389830508474576,0.05357142857142857,0,0,15.869980879541108
"Crystal Bradford","ATL",24,440,890,23.707865168539325,5.955056179775281,12.359550561797754,0.4818181818181818,3.258426966292135,9.101123595505618,0.35802469135802467,0.35802469135802467,2.0224719101123596,3.8202247191011236,8.089887640449438,9.101123595505618,0.6741573033707865,0.32075471698113206,0.40476190476190477,0.9310344827586207,0.42408376963350786,0.5174696335078534,0.5052356020942408,0.5096618357487923,2.4719101123595504,1.1235955056179776,0.09090909090909091,0.11235955056179775,0.012345679012345678,22.243713733075435
"Tianna Hawkins","ATL",28,432,878,15.60364464692483,3.8724373576309796,6.83371298405467,0.5666666666666667,1.8223234624145785,7.517084282460137,0.24242424242424243,0.24242424242424243,2.3917995444191344,5.922551252847381,1.8223234624145785,5.466970387243736,0,0.7647058823529411,0.9285714285714286,1,0.5238095238095238,0.5211170634920634,0.4603174603174603,0.5,1.366742596810934,0.45558086560364464,0.06666666666666667,0,0,16.950852557673016
"Kia Vaughn","ATL",29,401,811,9.001233045622689,3.945745992601726,9.741060419235511,0.4050632911392405,0,0.12330456226880394,0,0,1.1097410604192355,4.68557336621455,3.2059186189889024,0,0,0.59375,0.7037037037037037,0,0.0125,0.45645625,0.4,0.42441860465116277,1.2330456226880395,0.7398273736128237,0.0759493670886076,0,0,13.100436681222707
"Imani McGee-Stafford","ATL",39,397,783,14.559386973180077,6.641123882503193,14.048531289910601,0.4727272727272727,0,0,0,0,1.277139208173691,9.195402298850574,4.086845466155811,0,0,0.6923076923076923,0.9473684210526315,0,0,0.4628263636363636,0.4727272727272727,0.4789915966386555,3.5759897828863347,0.7662835249042146,0.05454545454545454,0,0,15.343915343915345
"Ketia Swanier","ATL",34,389,779,9.75609756097561,2.6957637997432604,6.675224646983312,0.40384615384615385,0.6418485237483954,3.851091142490372,0.16666666666666666,0.1724137931034483,2.4390243902439024,1.797175866495507,3.594351732991014,1.5404364569961488,0.3851091142490372,0.3333333333333333,0.3333333333333333,0.8,0.36585365853658536,0.5046913580246913,0.3475609756097561,0.4,0,0.25673940949935814,0.038461538461538464,0,0,15.419501133786847
"Jennifer Lacy","ATL",32,362,747,12.85140562248996,4.149933065595716,11.78045515394913,0.3522727272727273,0.535475234270415,2.5435073627844713,0.21052631578947367,0.21052631578947367,2.9451137884872827,4.016064257028113,4.28380187416332,1.606425702811245,0,0.4838709677419355,0.6,1,0.17757009345794392,0.45477056074766353,0.34579439252336447,0.3902439024390244,1.606425702811245,1.606425702811245,0.13636363636363635,0,0,16.704545454545453
"Ivory Latta","ATL",24,350,733,19.918144611186904,3.6834924965893587,8.185538881309686,0.45,2.4556616643929057,6.8212824010914055,0.36,0.3673469387755102,5.184174624829468,1.6371077762619373,5.729877216916781,3.2742155525238745,4.092769440654843,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.45454545454545453,0.49780138888888886,0.4909090909090909,0.5572519083969466,0,1.0914051841746248,0.13333333333333333,0,0,18.171296296296294
