Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
VENUS LACY,NYL,2000,C,Interior Primary Option,18.2,-4.549647389306988,22.787250620861073
MICHELLE SNOW,WAS,2013,C,Roller/Cutter,571.2,-4.5572635745416745,-0.1683629059944528
CAMILLE SMITH,CON,2015,F,Secondary Creator/Distributor,918.0,-4.558613165767203,-2.4863242656760036
NIELE IVEY,IND,2004,G,Spot-up Shooter,180.0,-4.558973751136109,-14.378871695278992
ELIZABETH WILLIAMS,ATL,2020,PowerF,Interior Primary Option,642.4,-4.564725109621802,-5.5913528289031955
TANGELA SMITH,IND,2011,C,Spot-up Shooter,709.5,-4.564829689698613,0.22098627222300893
RACHEL BANHAM,MIN,2022,G,Spot-up Shooter,630.0,-4.569817536140958,2.2423113368983105
ERICA MCCALL,MIN,2020,F,Roller/Cutter,184.0,-4.572725722859964,6.601826243021987
KRISTY WALLACE,ATL,2022,G,Secondary Creator/Distributor,603.2,-4.573207986177707,-5.3827124135036595
CRYSTAL ROBINSON,NYL,2001,F,Spot-up Shooter,979.2,-4.575216240199946,5.2208998675833325
EBONY HOFFMAN,LAS,2011,F,Secondary Creator/Distributor,751.4000000000001,-4.576264879782137,-5.05090113963739
NICOLE OHLDE,MIN,2005,PowerF,Interior Primary Option,1033.6,-4.580874219217567,-2.788804418094824
STEPHANIE MAVUNGA,IND,2019,F,Roller/Cutter,204.0,-4.581843441910269,5.456155846291283
SWIN CASH,CHI,2013,F,Secondary Creator/Distributor,962.2,-4.588008310163658,7.814622375434315
JENNIFER LACY,CON,2015,F,Spot-up Shooter,494.1,-4.595895017823805,-10.750624911882356
SANDRINE GRUDA,CON,2009,PowerF,Perimeter-Oriented Big/Wing,811.1999999999999,-4.597047103937966,0.3735380507798597
ALICIA THOMPSON,IND,2000,F,Perimeter-Oriented Big/Wing,793.6,-4.598307048322191,-4.929804639644731
CHANEL MOKANGO,LAS,2010,F,Roller/Cutter,71.39999999999999,-4.60239736073113,-18.56876130012533
ANDREA STINSON,DET,2005,G,Secondary Creator/Distributor,100.8,-4.602740042895322,6.688740508849835
ANDREA STINSON,CHA,2000,G,Primary On-Ball Creator,1123.2,-4.603174538750197,-1.765337725767669
ADIA BARNES,SEA,2002,F,Roller/Cutter,491.4,-4.606455518658676,7.043377755729737
CRYSTAL ROBINSON,NYL,2005,F,Spot-up Shooter,969.6,-4.609700626176747,3.197837924330185
SHEKINNA STRICKLEN,SEA,2013,F,Spot-up Shooter,799.0,-4.6102503764138225,-1.0461348120665384
CHASITY MELVIN,WAS,2005,PowerF,Interior Primary Option,1050.6,-4.61150289297054,-2.9042995545488504
JENE MORRIS,TUL,2012,G,Spot-up Shooter,81.89999999999999,-4.614016077232266,-4.326469536630812
TERESA WEATHERSPOON,NYL,1999,G,Spot-up Shooter,1052.8,-4.620640300182951,-3.2366215244819942
KELLY MAZZANTE,CHA,2004,G,Spot-up Shooter,340.0,-4.624367571009709,0.013494840806744124
CHARDE HOUSTON,PHO,2012,F,Primary On-Ball Creator,693.9,-4.624552992508006,-4.126727364885699
JESSICA SHEPARD,MIN,2023,F,Roller/Cutter,564.9,-4.625205241374396,-7.002541183489765
NYKESHA SALES,ORL,2002,SG,Primary On-Ball Creator,1043.2,-4.627177703087282,0.8894909242987314
CHELSEA NEWTON,SAC,2005,G,Secondary Creator/Distributor,714.0,-4.627727000770551,3.7465218562950153
KELLY FARIS,CON,2015,G,Secondary Creator/Distributor,464.0,-4.627794849477944,-2.4554569203414993
ISABELLE HARRISON,SAN,2017,F,Interior Primary Option,904.4,-4.629025365730516,-6.9145128320501295
AERIAL POWERS,DAL,2017,G,Primary On-Ball Creator,243.6,-4.62958986068457,-1.7014279728931077
TARA WILLIAMS,POR,2000,G,Spot-up Shooter,174.20000000000002,-4.631867641793848,-4.823239413093715
LEILANI MITCHELL,PHO,2018,G,Spot-up Shooter,461.9,-4.63459740825482,-8.011532037422976
JANTEL LAVENDER,LAS,2013,F,Interior Primary Option,571.2,-4.635799515024413,0.08634533265604016
JAZMINE JONES,NYL,2020,G,Primary On-Ball Creator,428.0,-4.636048682812579,5.6623730115471655
THERESA PLAISANCE,DAL,2016,F,Secondary Creator/Distributor,318.6,-4.636552636639507,-5.862404181618015
LAUREN JACKSON,SEA,2011,PowerF,Perimeter-Oriented Big/Wing,322.40000000000003,-4.636849105792649,6.66199874376878
NICOLE POWELL,CHA,2004,F,Spot-up Shooter,381.3,-4.636999981378992,6.454858110133514
ASHLEY WALKER,LAS,2019,PowerF,Secondary Creator/Distributor,22.5,-4.638860785548701,-34.7427971586899
