Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
REBECCA ALLEN,CON,2023,SG,Spot-up Shooter,860.0,-6.358636903342684,3.0303184758845587
BEATRICE MOMPREMIER,CON,2020,F,Roller/Cutter,186.9,-6.359852048755718,2.99666422342736
COCO MILLER,ATL,2009,G,Secondary Creator/Distributor,408.0,-6.369267590991847,-10.470658699039006
FLORINA PASCALAU,SEA,2008,C,Roller/Cutter,9.3,-6.372819930647637,-3.644809131129099
KIA VAUGHN,NYL,2011,C,Interior Primary Option,955.4,-6.373505154437633,-1.58861810124325
DEMYA WALKER,SAC,2007,F,Interior Primary Option,104.5,-6.378756223692144,12.810096744164632
RASHANDA MCCANTS,MIN,2009,F,Secondary Creator/Distributor,482.7999999999999,-6.379281204636558,-6.988863865997337
NAKIA SANFORD,WAS,2009,PowerF,Interior Primary Option,663.0,-6.37933573911138,5.207399999660464
CRYSTAL LANGHORNE,WAS,2009,PowerF,Interior Primary Option,1013.2,-6.382204918657012,-0.6472885182334758
ALICIA THOMPSON,IND,2002,F,Secondary Creator/Distributor,313.2,-6.385285596443172,-5.833277028090581
CRYSTAL KELLY,SAN,2010,F,Roller/Cutter,241.8,-6.385471830298645,-3.821790146918665
KATE MARTIN,LVA,2024,G,Spot-up Shooter,391.0,-6.3856500818388175,-4.254586951543093
BRIDGET PETTIS,IND,2003,G,Spot-up Shooter,145.70000000000002,-6.391546311960329,-14.53463212835693
JENNIFER O'NEILL,MIN,2015,G,Spot-up Shooter,101.4,-6.403868966277765,9.32009005734191
ADRIENNE GOODSON,UTA,2002,F,Perimeter-Oriented Big/Wing,1100.8,-6.406101834381315,-4.364514495648229
KAYLA PEDERSEN,CON,2014,F,Roller/Cutter,310.0,-6.4081020711983605,-1.6268205874010988
DEMYA WALKER,SAC,2003,F,Interior Primary Option,737.8,-6.408951203209169,-1.5633045426621122
CHASITY MELVIN,CLE,2001,PowerF,Interior Primary Option,756.0,-6.40915915326103,-9.861169212974037
TAMERA YOUNG,CHI,2012,F,Interior Primary Option,805.1999999999999,-6.413424435076429,-7.686681150764428
KALANI BROWN,DAL,2024,C,Roller/Cutter,514.8,-6.421406821506726,-8.488950488105155
LEIGHA BROWN,CON,2023,G,Secondary Creator/Distributor,130.0,-6.422053378921332,-36.3325353297245
KAYLA MCBRIDE,SAN,2016,G,Primary On-Ball Creator,523.6,-6.423342247303928,-7.126728539257311
KEDRA HOLLAND-CORN,DET,2006,G,Spot-up Shooter,401.2000000000001,-6.427975600750831,7.7026184777361495
CRYSTAL LANGHORNE,SEA,2015,PowerF,Interior Primary Option,873.8,-6.428147969390978,-8.409018203866761
DELISHA MILTON-JONES,LAS,2009,F,Secondary Creator/Distributor,1042.8,-6.434585111708485,1.233834904478903
CHARDE HOUSTON,PHO,2013,F,Secondary Creator/Distributor,584.8,-6.4427952567370355,-5.410167825373213
ANDREA STINSON,CHA,1998,G,Primary On-Ball Creator,1047.0,-6.44370812123809,7.18135852288423
ZANE TAMANE,PHO,2012,C,Roller/Cutter,14.6,-6.446737719170491,-46.67747656807727
ADRIENNE GOODSON,UTA,2000,F,Perimeter-Oriented Big/Wing,930.9,-6.44861963576572,0.25991494758235234
MURRIEL PAGE,WAS,2002,F,Roller/Cutter,752.0,-6.452430994834635,5.510962423421902
EVA NEMCOVA,CLE,2001,F,Spot-up Shooter,113.6,-6.452899001922093,-0.06348018082951112
VENUS LACY,NYL,1999,C,Roller/Cutter,115.2,-6.457956614108602,0.32363168478134696
IZIANE CASTRO MARQUES,SEA,2005,SG,Secondary Creator/Distributor,881.1,-6.459900575176508,1.3728938760144773
RAMU TOKASHIKI,SEA,2015,F,Interior Primary Option,618.0,-6.461064540375819,-1.0994720099014024
BETTY LENNOX,SEA,2005,G,Primary On-Ball Creator,798.0,-6.470139385722549,2.098908430624032
ALLISON HIGHTOWER,CON,2010,G,Secondary Creator/Distributor,206.0,-6.473479668758128,-0.2273862107796094
TIFFANY MITCHELL,IND,2019,G,Secondary Creator/Distributor,831.6,-6.474131217137319,-5.57356532784502
STACEY FORD,SAC,2002,F,Roller/Cutter,12.5,-6.493120125163406,-14.33449652482685
SHANNON BOBBITT,LAS,2009,G,Secondary Creator/Distributor,353.09999999999997,-6.496922227047952,-9.210305060368327
ERICA MCCALL,IND,2019,F,Roller/Cutter,103.5,-6.49940387634333,-6.855356998141469
CAROLYN SWORDS,LVA,2020,C,Roller/Cutter,382.7999999999999,-6.499447410686582,7.775373837010437
CAMILLE COOPER,NYL,2002,C,Roller/Cutter,119.6,-6.49990489070929,9.047189107064082
STEPHANIE RAYMOND,CHI,2007,G,Spot-up Shooter,178.0,-6.503185938768901,-3.2672467993652665
IZIANE CASTRO MARQUES,ATL,2009,SG,Primary On-Ball Creator,914.6,-6.506563968633265,7.683818643830145
MARISSA COLEMAN,NYL,2018,SG,Spot-up Shooter,384.3,-6.508508635744822,-6.936603533751441
SYDNEY COLSON,LVA,2022,G,Secondary Creator/Distributor,122.4,-6.511505634624104,-20.94520381747283
BRIANNA TURNER,PHO,2023,PowerF,Roller/Cutter,1052.0,-6.513343450737515,-8.307418170806084
SHERI SAM,CHA,2005,SG,Perimeter-Oriented Big/Wing,1074.4,-6.519333836750338,-5.826907533205221
DEMYA WALKER,POR,2002,F,Interior Primary Option,849.4,-6.528457415958987,-4.995592083531748
KELLY MILLER,MIN,2009,G,Spot-up Shooter,676.5999999999999,-6.528551539405537,-2.346769300876949
AVERY WARLEY-TALBERT,NYL,2014,C,Roller/Cutter,442.4,-6.528851261150335,1.8689847193384685
CHASITY MELVIN,CLE,1999,PowerF,Interior Primary Option,682.0,-6.530608630439611,-1.5366181435787627
MAYLANA MARTIN,MIN,2001,PowerF,Secondary Creator/Distributor,492.9,-6.532728484623286,-7.3544812565752125
STACEY THOMAS,POR,2002,F,Secondary Creator/Distributor,624.0,-6.538243780230685,5.815198122465201
MICHAELA ONYENWERE,CHI,2024,F,Secondary Creator/Distributor,635.8,-6.539055501973983,-4.717403214779772
MARISSA COLEMAN,WAS,2009,SG,Spot-up Shooter,523.6,-6.541149347701308,1.4839293548618775
MATEE AJAVON,WAS,2013,G,Primary On-Ball Creator,771.8,-6.541635760426059,-2.960990759347829
TIANNA HAWKINS,SEA,2013,F,Roller/Cutter,320.09999999999997,-6.543041758747013,-3.0544596441612772
JENNY MOWE,POR,2001,C,Roller/Cutter,16.0,-6.546276517241424,-15.573520599477161
ELAINE POWELL,DET,2008,G,Roller/Cutter,313.6,-6.550587673875494,-1.9767208703216947
LE'COE WILLINGHAM,CON,2007,F,Roller/Cutter,319.2,-6.557761005411043,11.895983158556835
BARBARA FARRIS,DET,2005,PowerF,Roller/Cutter,445.4,-6.557896750469772,-4.687463221345569
AMBER HARRIS,MIN,2013,F,Secondary Creator/Distributor,264.0,-6.561554707930322,-12.317283363727183
RUTHIE BOLTON,SAC,1998,G,Primary On-Ball Creator,133.5,-6.564833443293845,0.23239385703434134
TONYA MASSALINE,WAS,2002,F,Secondary Creator/Distributor,290.0,-6.569859436768175,-1.6637730058458602
JENNIFER HOWARD,CLE,1999,G,Spot-up Shooter,15.6,-6.570991082915002,15.80660244493555
RENEE MONTGOMERY,CON,2012,G,Primary On-Ball Creator,816.0,-6.578117379496454,-4.31883343086597
LINDSEY YAMASAKI,NYL,2003,SG,Spot-up Shooter,146.39999999999998,-6.579115907203999,3.2992410962074032
KETIA SWANIER,CON,2008,G,Spot-up Shooter,232.50000000000003,-6.5797415591074,1.3214381867792682
BARBARA FARRIS,NYL,2007,PowerF,Roller/Cutter,238.0,-6.580143133711004,4.357740904073768
JAZMINE JONES,NYL,2021,G,Secondary Creator/Distributor,448.2000000000001,-6.581092995724147,-9.231704876987815
VICKI HALL,CLE,2000,F,Secondary Creator/Distributor,551.8000000000001,-6.589889318004552,-5.275640421954897
A'DIA MATHIES,LAS,2013,G,Secondary Creator/Distributor,276.0,-6.5929307993306345,4.833354374279689
BROOKE WYCKOFF,ORL,2002,F,Spot-up Shooter,515.2,-6.595284086824026,-17.271408720048303
TIFFANY MITCHELL,IND,2016,G,Primary On-Ball Creator,680.0,-6.599511877416979,0.3172737800056491
TIFFANI JOHNSON,HOU,2003,C,Roller/Cutter,358.6,-6.599741162463524,-9.218977090871688
SHALONDA ENIS,CHA,2000,PowerF,Perimeter-Oriented Big/Wing,321.6,-6.600212062363283,-11.284446616564443
JAMIE CAREY,CON,2005,G,Spot-up Shooter,84.0,-6.60632248928273,7.633370451381992
KRISTI TOLIVER,WAS,2023,G,Spot-up Shooter,99.0,-6.607511598679089,-11.584275319043586
CRYSTAL BRADFORD,LAS,2015,F,Spot-up Shooter,141.0,-6.614087533677691,-2.3959146490121896
PLENETTE PIERSON,PHO,2004,F,Interior Primary Option,799.8000000000001,-6.6147138648062365,-18.652161154683345
KENDRA WECKER,SAN,2007,F,Roller/Cutter,72.8,-6.616760315387926,-34.85056565530966
NADINE DOMOND,SAC,1998,G,Spot-up Shooter,91.8,-6.617963634372107,-6.17825462156414
TAYLER HILL,DAL,2019,G,Secondary Creator/Distributor,48.8,-6.6214400863952605,-17.788971520284854
NATALIE WILLIAMS,IND,2005,C,Interior Primary Option,802.4000000000001,-6.625801695261974,0.737825641721165
CRYSTAL LANGHORNE,SEA,2020,PowerF,Roller/Cutter,106.6,-6.629921165975529,-8.358449902439528
SCHOLANDA DORRELL,SAN,2011,G,Spot-up Shooter,518.4,-6.633432902753912,-1.1014202303608513
RESHANDA GRAY,NYL,2019,F,Interior Primary Option,520.2,-6.639088276635974,-3.5444287756142856
ESSENCE CARSON,NYL,2015,G,Secondary Creator/Distributor,643.5,-6.639283792581623,-5.133456414899909
JENNIFER GILLOM,PHO,1998,PowerF,Perimeter-Oriented Big/Wing,963.0,-6.640045884513862,5.3794609429006695
KRISTEN RASMUSSEN,MIA,2000,F,Roller/Cutter,460.2,-6.641413843479201,-1.9397833245016924
SHAUNZINSKI GORTMAN,MIN,2003,G,Secondary Creator/Distributor,196.8,-6.644478844600486,-9.058794650907606
CHASITY MELVIN,WAS,2004,PowerF,Interior Primary Option,829.5999999999999,-6.644786147418886,-1.2698781414333165
TAUSHA MILLS,WAS,2001,C,Roller/Cutter,318.0,-6.648156419799121,-3.7326375627559107
YELENA LEUCHANKA,CHA,2006,C,Roller/Cutter,38.0,-6.651713778859957,-10.733571240245098
MORGAN TUCK,CON,2016,F,Secondary Creator/Distributor,434.2,-6.653892359354623,3.445060863342199
MATEE AJAVON,WAS,2011,G,Primary On-Ball Creator,1064.2,-6.655383939331048,-2.998787556591446
KATY STEDING,SEA,2001,F,Spot-up Shooter,392.6,-6.656787061422954,-20.017769509452602
SHAUNZINSKI GORTMAN,SEA,2006,G,Secondary Creator/Distributor,264.0,-6.657536246941206,4.293487002187901
WENDY PALMER,SEA,2007,F,Roller/Cutter,472.6,-6.667638088742436,-6.140383721902007
POLINA TZEKOVA,HOU,1999,C,Secondary Creator/Distributor,777.6,-6.672349326447151,-2.002842742602557
JENNI BENNINGFIELD,IND,2005,F,Roller/Cutter,51.0,-6.674290291601443,4.162527804023926
LUCIENNE BERTHIEU,HOU,2004,PowerF,Roller/Cutter,131.2,-6.675212787651933,13.480094401989373
EDNA CAMPBELL,PHO,1999,G,Primary On-Ball Creator,750.4,-6.675378334993734,-1.7597000119037411
ANN STROTHER,IND,2007,SG,Spot-up Shooter,69.6,-6.67837510721988,6.483506071056873
KETIA SWANIER,PHO,2010,G,Secondary Creator/Distributor,323.2,-6.682924770723941,-6.498852957891856
SHAMEKA CHRISTON,SAN,2013,G,Spot-up Shooter,739.1999999999999,-6.684552255419598,-6.654572578767234
KRISTI TOLIVER,LAS,2022,G,Spot-up Shooter,217.8,-6.686939886841247,-11.140622241607296
MICHELLE EDWARDS,CLE,1999,G,Primary On-Ball Creator,737.8000000000001,-6.687672657451418,1.3551032384520694
PARIS KEA,NYL,2020,G,Primary On-Ball Creator,165.0,-6.689797351803188,-14.779049847963037
KAHLEAH COPPER,CHI,2018,SG,Secondary Creator/Distributor,524.7,-6.695793498937857,-9.58106151958689
JASMINE THOMAS,LAS,2023,G,Spot-up Shooter,409.6,-6.701037786353894,-5.381024237005285
JESSICA MOORE,IND,2010,PowerF,Roller/Cutter,432.3,-6.701673448264137,-5.876894442349727
ADRIENNE GOODSON,SAN,2004,F,Interior Primary Option,1067.6,-6.705894430572178,-8.48464358251411
GRACE BERGER,IND,2024,G,Secondary Creator/Distributor,102.3,-6.711606001648953,-5.496316922743118
ALEX BENTLEY,CON,2016,G,Primary On-Ball Creator,979.2,-6.7126352363301605,-6.218830782078802
RACHEL BANHAM,CON,2017,G,Spot-up Shooter,282.0,-6.713963126177624,3.731562243245608
NATALIE NOVOSEL,WAS,2012,G,Secondary Creator/Distributor,306.90000000000003,-6.718022377742002,-6.985980958765591
MERY ANDRADE,CLE,2000,F,Primary On-Ball Creator,761.6,-6.719896021882702,0.809758603752524
TAMERA YOUNG,CHI,2014,F,Roller/Cutter,938.4,-6.733212352490718,-4.957666722501568
ERICA WHEELER,IND,2016,G,Primary On-Ball Creator,812.5999999999999,-6.733884729803597,-2.896943853064004
VICTORIA VIVIANS,SEA,2024,SG,Spot-up Shooter,444.5,-6.736550704136946,4.324027998455243
TAMERA YOUNG,CHI,2016,F,Roller/Cutter,825.6,-6.738324643424272,-1.3661494495854907
MARISSA COLEMAN,WAS,2011,SG,Spot-up Shooter,918.0,-6.739492660227072,2.9454566657447585
JAZMON GWATHMEY,SAN,2016,G,Spot-up Shooter,352.0,-6.743379866575107,-2.420686403572037
IVORY LATTA,TUL,2011,G,Primary On-Ball Creator,684.0,-6.7477705674952375,-10.40949183745595
TIFFANY JACKSON,NYL,2007,F,Interior Primary Option,472.6,-6.747850088142637,-6.97987353298314
CORETTA BROWN,CHI,2006,G,Spot-up Shooter,252.0,-6.759238368807259,-1.5360589010704688
MARLA BRUMFIELD,CHA,2003,G,Secondary Creator/Distributor,122.5,-6.759576650868216,10.179390068887399
NICOLE POWELL,SEA,2014,F,Spot-up Shooter,338.0,-6.760060852604375,-2.197352011043246
RACHEL BANHAM,MIN,2021,G,Spot-up Shooter,340.2,-6.761132551505402,7.306682547682204
ADRIAN WILLIAMS-STRONG,SAN,2004,PowerF,Interior Primary Option,292.09999999999997,-6.762414605205692,-3.7811233250833873
LOREE MOORE,NYL,2005,G,Secondary Creator/Distributor,184.8,-6.766062503567481,-9.152691837677391
NIKKI TEASLEY,DET,2009,G,Spot-up Shooter,455.7,-6.768606791909306,-6.650887738370269
SCHOLANDA DORRELL,TUL,2010,G,Perimeter-Oriented Big/Wing,836.4000000000001,-6.771479159177304,-11.35588007845315
KRYSTAL THOMAS,PHO,2011,C,Roller/Cutter,120.0,-6.7731780376728725,-5.019079483027259
DEBBIE BLACK,CON,2004,G,Roller/Cutter,344.09999999999997,-6.7784486570009,-0.7354902960658007
TIFFANY MITCHELL,MIN,2023,G,Secondary Creator/Distributor,762.3000000000001,-6.780961101169814,-4.310261293281756
LISA HARRISON,PHO,2001,F,Secondary Creator/Distributor,915.2,-6.7815142709127985,-3.974607854144115
SHENISE JOHNSON,IND,2019,G,Secondary Creator/Distributor,219.3,-6.790055402452136,3.083418906713586
EVA NEMCOVA,CLE,1998,F,Secondary Creator/Distributor,972.0,-6.7905968802109715,-9.96134517133777
LINDSEY HARDING,MIN,2007,G,Primary On-Ball Creator,602.0,-6.790780796004816,-4.480285098345659
MEGAN DUFFY,MIN,2006,G,Secondary Creator/Distributor,387.5,-6.791143670083285,5.971029241185461
KELSEY BONE,CON,2015,C,Interior Primary Option,960.3,-6.7926451628879425,-3.546745571777489
DELISHA MILTON-JONES,NYL,2013,F,Secondary Creator/Distributor,621.4,-6.802341467080217,-12.087727678566266
TAMECKA DIXON,LAS,2002,G,Primary On-Ball Creator,960.0,-6.810754790228461,0.7630071856910117
REBECCA ALLEN,NYL,2019,SG,Spot-up Shooter,412.7999999999999,-6.81538540492755,2.150255549174065
COCO MILLER,ATL,2011,G,Secondary Creator/Distributor,539.4,-6.815465864122272,-7.3103052850166765
EBONY HOFFMAN,IND,2006,F,Roller/Cutter,853.4000000000001,-6.817447108405982,2.5318447240663575
ALISSA PILI,MIN,2024,F,Secondary Creator/Distributor,138.6,-6.820435731447374,-15.862915745216135
LATOYA THOMAS,SAN,2005,F,Perimeter-Oriented Big/Wing,506.1,-6.832862476648775,-9.689354914279685
JOLENE ANDERSON,CON,2008,G,Spot-up Shooter,367.2000000000001,-6.839516236950812,-2.939963554266316
ANDREA RILEY,LAS,2010,G,Primary On-Ball Creator,223.3,-6.853033271400841,-8.977166224065877
CHAMIQUE HOLDSCLAW,WAS,2003,F,Perimeter-Oriented Big/Wing,947.7,-6.858168223834799,0.8936758100107767
ASHLEY JOENS,PHO,2023,G,Spot-up Shooter,127.3,-6.858964230978518,-14.254127246811535
TIFFANI JOHNSON,SEA,2006,C,Roller/Cutter,636.8,-6.862181731285019,-10.867455208156493
TANISHA WRIGHT,MIN,2018,G,Spot-up Shooter,587.4,-6.8622155804685105,-4.586785985875098
SHYRA ELY-GASH,CHI,2009,F,Secondary Creator/Distributor,496.4,-6.864452531391575,-0.9416670114370469
ALLISON HIGHTOWER,WAS,2017,G,Secondary Creator/Distributor,145.2,-6.865630303481369,-4.354703534163503
ASIA TAYLOR,MIN,2014,F,Roller/Cutter,173.8,-6.866521249542714,-7.516176760633623
FRANTHEA PRICE,SAC,1998,G,Spot-up Shooter,370.0,-6.869126511524471,0.736409599927681
REBECCA ALLEN,NYL,2018,SG,Secondary Creator/Distributor,291.2,-6.872833231566576,12.96441294997813
MARIA STEPANOVA,PHO,2000,C,Roller/Cutter,171.0,-6.879444687755722,15.488486765767682
SHONA THORBURN,MIN,2006,G,Secondary Creator/Distributor,143.0,-6.883580946225877,0.914154693041221
AMBER HARRIS,CHI,2017,F,Roller/Cutter,159.3,-6.885035523889468,-15.723951189217505
CATHRINE KRAAYEVELD,NYL,2009,F,Spot-up Shooter,887.4000000000001,-6.893665345502552,4.521112699675814
ERIN PERPEROGLOU,SAN,2009,F,Secondary Creator/Distributor,578.0,-6.897840398472525,-3.46998688052744
ANN WAUTERS,NYL,2004,C,Interior Primary Option,267.8,-6.9002259993824415,-5.768627012035923
SEMEKA RANDALL,SEA,2001,G,Perimeter-Oriented Big/Wing,886.4,-6.9006942449490944,-1.468034157574904
TIANNA HAWKINS,WAS,2022,F,Secondary Creator/Distributor,320.0,-6.900697230648406,-8.679805386123231
KAYLA ALEXANDER,SAN,2017,C,Roller/Cutter,523.6,-6.914369637317132,-5.709923085240168
SANDORA IRVIN,CHI,2010,F,Roller/Cutter,136.79999999999998,-6.915866929253828,-0.7732602583678414
CAROLYN SWORDS,SEA,2017,C,Roller/Cutter,261.0,-6.917529035365817,-9.136815084436073
KIA VAUGHN,WAS,2016,C,Roller/Cutter,673.2,-6.921030770347564,-5.075392095660361
ALANA BEARD,WAS,2004,SG,Primary On-Ball Creator,1026.8,-6.9224777192523845,-8.815281471743896
TAN WHITE,IND,2006,G,Primary On-Ball Creator,741.2,-6.92544381354538,-5.540016534388975
ASHLEY WALKER,TUL,2010,PowerF,Secondary Creator/Distributor,9.2,-6.926002383505498,-41.715037047603865
RIQUNA WILLIAMS,LAS,2017,G,Spot-up Shooter,407.1,-6.929034345716264,-4.765546262860978
MURRIEL PAGE,WAS,2005,F,Secondary Creator/Distributor,588.2,-6.9314671904226115,-2.758244147678117
YVONNE TURNER,PHO,2019,G,Primary On-Ball Creator,594.5,-6.931823870221171,-0.6986906459134703
MATEE AJAVON,ATL,2016,G,Secondary Creator/Distributor,339.2,-6.934681052640439,-1.8860376334154954
TYE'SHA FLUKER,CHI,2008,C,Roller/Cutter,231.4,-6.939503279758434,-13.891039344955406
NIA COFFEY,LAS,2021,F,Spot-up Shooter,806.4,-6.9450030355347145,-1.1469324783085653
ADIA BARNES,CLE,2001,F,Roller/Cutter,2.7,-6.945344288926114,45.22790376670469
TANJA KOSTIC,CLE,1998,F,Roller/Cutter,29.5,-6.950498274606212,-18.467253819686885
KALEENA MOSQUEDA-LEWIS,SEA,2017,F,Spot-up Shooter,199.8,-6.951972841399181,3.4340449735371212
KATIE DOUGLAS,IND,2013,SG,Primary On-Ball Creator,142.8,-6.953036004854439,2.6788009342378163
CHELSEA HOPKINS,CHI,2018,G,Roller/Cutter,58.0,-6.955168544310245,-7.689341798788863
KIA VAUGHN,ATL,2022,C,Roller/Cutter,400.2000000000001,-6.964982714161343,1.4246917984889347
KATIE SMITH,MIN,2002,G,Primary On-Ball Creator,1137.7,-6.966816620637561,-7.969181352491312
LISA LESLIE,LAS,1999,C,Perimeter-Oriented Big/Wing,924.8,-6.969477378236278,-1.1064656597632596
NAVONDA MOORE,MIN,2008,G,Secondary Creator/Distributor,124.8,-6.970836393708081,1.897832472017706
MWADI MABIKA,LAS,2007,G,Primary On-Ball Creator,762.3000000000001,-6.971013524842433,-2.5712885137772155
SUE BIRD,SEA,2004,G,Primary On-Ball Creator,1142.4,-6.973991175480439,1.2451150395882773
CARLA BOYD,DET,1998,F,Secondary Creator/Distributor,819.0,-6.975543879462719,-2.1518547263095114
TONYA MASSALINE,SEA,2003,F,Secondary Creator/Distributor,220.8,-6.9779278846952515,-9.526332487300891
NIKKI MCCRAY,IND,2002,G,Secondary Creator/Distributor,1059.2,-6.980252442836741,-3.218935675861864
ANNA DEFORGE,DET,2000,G,Spot-up Shooter,434.7000000000001,-6.9863796842280355,-6.426071002507015
MONIQUE BILLINGS,ATL,2023,F,Roller/Cutter,651.3,-6.995735335535598,-1.1711154566149968
TIFFANY MITCHELL,IND,2020,G,Primary On-Ball Creator,501.6,-7.001533894543333,6.105452693326505
LISA HARRISON,PHO,2005,F,Roller/Cutter,297.0,-7.003323633799349,-4.602249617185121
LE'COE WILLINGHAM,CON,2006,F,Roller/Cutter,211.7,-7.005872520449161,-9.525539439640369
ANDREA NAGY,WAS,2000,G,Spot-up Shooter,692.3000000000001,-7.005895861669425,-6.4433472437976755
SHEKINNA STRICKLEN,ATL,2020,F,Spot-up Shooter,477.4,-7.013076389229907,-8.013400893812552
EDNIESHA CURRY,LAS,2005,G,Spot-up Shooter,111.8,-7.019286754969927,7.530379393982342
JESSICA DAVENPORT,NYL,2008,C,Interior Primary Option,154.0,-7.021518608109664,-0.7600218268797203
SONIA CHASE,CHA,1999,G,Spot-up Shooter,58.5,-7.023971959289299,-4.352872745362726
KARA BRAXTON,DET,2007,PowerF,Interior Primary Option,520.8000000000001,-7.024278638843328,-7.098290063671966
DIAMOND DESHIELDS,CHI,2024,G,Secondary Creator/Distributor,441.6,-7.026144420882421,-8.921199965135841
BRIANNA KIESEL,TUL,2015,G,Secondary Creator/Distributor,615.4000000000001,-7.027000505166112,-4.679644105628619
HELEN DARLING,MIN,2004,G,Secondary Creator/Distributor,706.1999999999999,-7.0279882292855245,-8.235500453949392
RITA WILLIAMS,HOU,2002,G,Spot-up Shooter,568.4000000000001,-7.0294777358985625,3.291166968299457
JAMIE CASSIDY,MIA,2000,C,Secondary Creator/Distributor,176.0,-7.039456713245427,-17.50363984167473
SHERILL BAKER,LAS,2007,G,Primary On-Ball Creator,504.9,-7.043514809636553,-3.8598899226048955
SHAY DORON,NYL,2007,G,Secondary Creator/Distributor,35.0,-7.044954199724331,-2.0621249540168343
KIA VAUGHN,NYL,2017,C,Roller/Cutter,548.8000000000001,-7.045214664356948,-4.634769606784015
TIFFANY MITCHELL,CON,2024,G,Secondary Creator/Distributor,391.2000000000001,-7.046533048815119,-1.4330350270213095
TAN WHITE,IND,2008,G,Primary On-Ball Creator,894.3000000000001,-7.050211525104703,1.3205432227895026
ANETE JEKABSONE-ZOGOTA,CON,2009,G,Spot-up Shooter,642.6,-7.052432382322078,-3.1339487195955256
TRISHA STAFFORD-ODOM,HOU,2001,F,Interior Primary Option,369.0,-7.053852096893459,-9.273623098861883
CANDICE DUPREE,PHO,2012,F,Perimeter-Oriented Big/Wing,344.5,-7.058557103792795,-13.607951344849411
TRACY REID,CHA,1998,F,Interior Primary Option,966.0,-7.0626214915344425,2.5487176956236515
CARLA CORTIJO,ATL,2016,G,Primary On-Ball Creator,294.3,-7.070816197564923,-1.3184868736065738
MERLAKIA JONES,CLE,2000,G,Perimeter-Oriented Big/Wing,915.2,-7.073248135127724,-4.627408641846962
TAMERA YOUNG,CHI,2011,F,Interior Primary Option,792.0,-7.07483849937707,-0.5594402841347819
MANDISA STEVENSON,SEA,2005,PowerF,Roller/Cutter,53.2,-7.0827463690932975,-16.436497308179455
NADINE MALCOLM,IND,2001,F,Secondary Creator/Distributor,703.6999999999999,-7.083753542346164,-4.091223296255171
MFON UDOKA,HOU,2003,F,Roller/Cutter,250.0,-7.090853104365302,-3.498768587662622
JAMIERRA FAULKNER,CHI,2019,G,Secondary Creator/Distributor,72.8,-7.102477173572473,-16.61916928668751
COURTNEY VANDERSLOOT,CHI,2012,G,Primary On-Ball Creator,907.8,-7.104078198001035,-0.11967297833420698
KIARA LESLIE,WAS,2021,G,Secondary Creator/Distributor,86.39999999999999,-7.104764427848835,-10.795414633116545
NIKKI MCCRAY,WAS,1998,G,Primary On-Ball Creator,938.0,-7.1133901291009085,-6.811668536932291
DESTINY SLOCUM,LVA,2021,G,Spot-up Shooter,134.4,-7.11648170132524,12.605464258224584
RAMU TOKASHIKI,SEA,2017,F,Roller/Cutter,409.2,-7.119224679238348,-2.8156715823704017
KERRI GARDIN,CON,2010,F,Secondary Creator/Distributor,204.99999999999997,-7.126862240534094,2.2334207629539646
KELLY FARIS,CON,2014,G,Spot-up Shooter,192.5,-7.127025909965786,1.9415532974726135
KATRYNA GAITHER,IND,2000,C,Roller/Cutter,78.0,-7.133403660182829,-4.267939104609361
ESSENCE CARSON,NYL,2008,G,Secondary Creator/Distributor,646.0,-7.136652903209443,-4.269941054217255
SHERI SAM,DET,2008,SG,Secondary Creator/Distributor,476.8,-7.13729190282071,2.688129165712024
SANDORA IRVIN,SAN,2008,F,Roller/Cutter,115.5,-7.1379862085939525,-16.10401776990046
JASMINE THOMAS,WAS,2012,G,Primary On-Ball Creator,761.5999999999999,-7.1443299272659155,-5.245495242055082
SAMANTHA PRAHALIS,PHO,2012,G,Primary On-Ball Creator,884.8000000000001,-7.146650109198726,-11.36082314648491
CRYSTAL LANGHORNE,WAS,2008,PowerF,Roller/Cutter,530.4,-7.152955979600193,-11.577734304659288
JESSICA BRELAND,IND,2021,F,Roller/Cutter,543.4,-7.154632560359436,-12.799010879039287
SHALONDA ENIS,CHA,2001,PowerF,Secondary Creator/Distributor,624.0,-7.166701124267906,-0.27937557920131406
CRYSTAL LANGHORNE,WAS,2013,PowerF,Interior Primary Option,972.4,-7.1671771403391835,-2.8699703667259584
MICHELLE SNOW,HOU,2007,C,Interior Primary Option,873.8,-7.1678660269500245,-8.759843690559325
JESSICA MOORE,CON,2011,PowerF,Roller/Cutter,200.1,-7.16857649223437,-3.997553663453619
CRYSTAL DANGERFIELD,LAS,2024,G,Secondary Creator/Distributor,438.9,-7.172357412551338,-11.820676392518
SHAMEKA CHRISTON,NYL,2004,G,Spot-up Shooter,561.0,-7.173614810645458,2.064170484536837
DEANNA NOLAN,DET,2001,SG,Primary On-Ball Creator,545.4,-7.175540656837589,-4.774770774232861
ALEX MONTGOMERY,SAN,2017,SG,Spot-up Shooter,799.0,-7.179034309115872,-8.798708867523292
KRISTIN HAYNIE,SAC,2007,G,Secondary Creator/Distributor,520.2,-7.1815292420464205,-5.055519022434662
TAMMY SUTTON-BROWN,CHA,2001,C,Interior Primary Option,603.2,-7.185343147363726,-3.643483175622963
CHERYL FORD,DET,2009,F,Interior Primary Option,754.0,-7.191941678267957,-1.173116208477409
