,Player,Team,Archetype,year
4035,BRIONNA JONES,CON,Interior Primary Option,2022
4034,BRIDGET CARLETON,MIN,Spot-up Shooter,2022
4033,BRIANN JANUARY,SEA,Secondary Creator/Distributor,2022
4031,ALYSSA THOMAS,CON,Interior Primary Option,2022
4030,AARI MCDONALD,ATL,Secondary Creator/Distributor,2022
4029,A'JA WILSON,LVA,Interior Primary Option,2022
4047,RUI MACHIDA,WAS,Secondary Creator/Distributor,2022
4049,SHAKIRA AUSTIN,WAS,Roller/Cutter,2022
4068,JACKIE YOUNG,LVA,Primary On-Ball Creator,2022
4050,STEFANIE DOLSON,NYL,Perimeter-Oriented Big,2022
4067,DEARICA HAMBY,LVA,Perimeter-Oriented Big,2022
4066,COURTNEY WILLIAMS,CON,Primary On-Ball Creator,2022
4065,BREANNA STEWART,SEA,Primary On-Ball Creator,2022
4064,ALLIE QUIGLEY,CHI,Primary On-Ball Creator,2022
4063,VICTORIA VIVIANS,IND,Primary On-Ball Creator,2022
4062,TYASHA HARRIS,DAL,Secondary Creator/Distributor,2022
4061,SHATORI WALKER-KIMBROUGH,WAS,Spot-up Shooter,2022
4060,SAMI WHITCOMB,NYL,Spot-up Shooter,2022
4059,REBEKAH GARDNER,CHI,Perimeter-Oriented Big,2022
4058,NATASHA HOWARD,NYL,Interior Primary Option,2022
4057,ISABELLE HARRISON,DAL,Interior Primary Option,2022
4056,EMILY ENGSTLER,IND,Perimeter-Oriented Big,2022
4055,CHELSEA GRAY,LVA,Secondary Creator/Distributor,2022
4054,BRIANNA TURNER,PHO,Roller/Cutter,2022
4053,AZURÁ STEVENS,CHI,Spot-up Shooter,2022
4052,AERIAL POWERS,MIN,Primary On-Ball Creator,2022
4051,VERONICA BURTON,DAL,Secondary Creator/Distributor,2022
4111,DIAMOND DESHIELDS,PHO,Primary On-Ball Creator,2022
4112,ELIZABETH WILLIAMS,WAS,Roller/Cutter,2022
4113,ERICA WHEELER,ATL,Secondary Creator/Distributor,2022
4175,ODYSSEY SIMS,CON,Secondary Creator/Distributor,2022
4173,RENNIA DAVIS,IND,Roller/Cutter,2022
4172,JAZMINE JONES,WAS,Secondary Creator/Distributor,2022
4171,ALAINA COATES,IND,Roller/Cutter,2022
4170,YVONNE TURNER,PHO,Secondary Creator/Distributor,2022
4169,MAYA CALDWELL,ATL,Spot-up Shooter,2022
4168,LINDSAY ALLEN,MIN,Secondary Creator/Distributor,2022
4167,BETNIJAH LANEY-HAMILTON,NYL,Primary On-Ball Creator,2022
4166,ALANNA SMITH,IND,Perimeter-Oriented Big,2022
4165,KRISTINE ANIGWE,PHO,Roller/Cutter,2022
4164,KHAYLA POINTER,IND,Secondary Creator/Distributor,2022
4163,YVONNE ANDERSON,CON,Secondary Creator/Distributor,2022
4162,TIFFANY HAYES,ATL,Primary On-Ball Creator,2022
4161,SATOU SABALLY,DAL,Primary On-Ball Creator,2022
4160,LORELA CUBAJ,NYL,Roller/Cutter,2022
4159,KRISTI TOLIVER,LAS,Secondary Creator/Distributor,2022
4158,KIANNA SMITH,LAS,Secondary Creator/Distributor,2022
4157,JOCELYN WILLOUGHBY,NYL,Perimeter-Oriented Big,2022
4174,KAELA DAVIS,PHO,Perimeter-Oriented Big,2022
4176,JASMINE THOMAS,CON,Secondary Creator/Distributor,2022
4155,BRIA HARTLEY,CON,Secondary Creator/Distributor,2022
4177,MERCEDES RUSSELL,SEA,Roller/Cutter,2022
4194,RAINA PEREZ,SEA,Secondary Creator/Distributor,2022
4193,KARLIE SAMUELSON,PHO,Secondary Creator/Distributor,2022
4114,OLIVIA NELSON-ODODA,LAS,Roller/Cutter,2022
4191,TINA KRAJISNIK,CHI,Roller/Cutter,2022
4190,SPARKLE TAYLOR,CHI,Roller/Cutter,2022
