Lineup,Team,Minutes,Offensive Rating,Defensive Rating
"T. Smith, K. Mazzante, D. Taurasi, K. Swanier, D. Bonner",PHO,17,117.9,92.1
"T. Thompson, M. Ferdinand-Harris, V. Hayden, N. Quinn, S. Bobbitt",LAS,17,91.7,126.5
"A. Beard, M. Currie, L. Harding, B. Mosby, C. Langhorne",WAS,16,107.7,148.6
"B. Wyckoff, K. Sharp, E. Thorn, C. Dupree, M. Bass",CHI,16,81.3,128.1
"C. Melvin, A. Beard, L. Harding, B. Mosby, M. Coleman",WAS,16,47.1,85.7
"C. Miller, M. Snow, J. Lacy, A. Herrington, I. Latta",ATL,16,73.5,115.2
"D. Walker, H. Maiga-Ba, K. Lawson, R. Brunson, C. Newton",SAC,16,73.5,80.6
"K. Brown, A. Jones, T. White, A. Jekabsone-Zogota, C. Black",CON,16,90.9,102.9
"K. Lawson, N. Powell, S. Dorrell, C. Kelly, L. Harper",SAC,16,85.7,117.6
"L. Leslie, D. Milton-Jones, N. Quinn, C. Parker, S. Bobbitt",LAS,16,103.3,72.4
"L. Whalen, K. Gardin, S. Gruda, A. Holt, A. Jekabsone-Zogota",CON,16,133.3,102.9
"P. Taylor, K. Mazzante, N. Ohlde, K. Swanier, D. Bonner",PHO,16,79.4,111.8
"P. Taylor, N. Ohlde, D. Taurasi, C. Pondexter, D. Bonner",PHO,16,126.5,100.0
"S. Christon, J. McCarville, L. Moore, E. Carson, K. Vaughn",NYL,16,82.4,112.1
"S. Johnson, J. Burse, L. Jackson, S. Bird, S. Cash",SEA,16,94.6,94.3
"S. Johnson, L. Jackson, S. Cash, T. Wright, C. Little",SEA,16,93.5,139.4
"S. Johnson, S. Batkovic-Brown, A. Robinson, K. Gearlds, A. Walker",SEA,16,50.0,82.8
"T. Bevilaqua, T. Catchings, K. Douglas, E. Hoffman, J. Davenport",IND,16,82.4,87.5
"T. Dixon, T. Catchings, E. Hoffman, J. Moore, B. January",IND,16,67.6,105.6
"T. Smith, K. Mazzante, C. Pondexter, K. Swanier, D. Bonner",PHO,16,62.2,111.1
"C. Melvin, A. Beard, M. Currie, M. Ajavon, C. Langhorne",WAS,15,97.0,100.0
"K. Miller, A. Montanana, Q. Hollingsworth, R. McCants, R. Montgomery",MIN,15,93.1,81.3
"K. Miller, S. Augustus, C. Wiggins, N. Anosike, L. Sanders",MIN,15,70.3,89.2
"K. Sharp, E. Thorn, S. Ely-Gash, C. Nan, C. Dupree",CHI,15,56.7,92.9
"K. Smith, D. Nolan, C. Ford, K. Braxton, A. Hornbuckle",DET,15,72.4,93.5
"L. Jackson, S. Bird, S. Cash, S. Batkovic-Brown, T. Wright",SEA,15,53.1,73.3
"L. Leslie, T. Thompson, D. Milton-Jones, C. Parker, S. Bobbitt",LAS,15,126.7,83.3
"L. Moore, C. Kraayeveld, S. Spencer, E. Carson, K. Vaughn",NYL,15,114.3,103.7
"L. Whalen, T. White, K. Gardin, S. Gruda, A. Holt",CON,15,132.1,120.7
"N. Ohlde, D. Taurasi, L. Willingham, T. Johnson, C. Pondexter",PHO,15,112.9,100.0
"T. Dixon, T. Bevilaqua, T. Sutton-Brown, K. Douglas, E. Hoffman",IND,15,56.7,92.6
"T. Dixon, T. Sutton-Brown, T. Catchings, K. Douglas, B. January",IND,15,115.4,55.6
"A. Beard, L. Harding, B. Mosby, M. Ajavon, C. Langhorne",WAS,14,118.5,96.3
"B. Hammon, A. Wauters, B. Snell, E. Lawson-Wade, S. Young-Malcolm",SAN,14,100.0,113.8
"B. Hammon, E. Perperoglou, B. Snell, E. Lawson-Wade, S. Young-Malcolm",SAN,14,111.5,72.4
"C. Holdsclaw, M. Snow, I. Castro Marques, S. Lyttle, S. Lehning",ATL,14,116.7,106.3
"C. Melvin, N. Sanford, A. Beard, L. Harding, M. Ajavon",WAS,14,133.3,85.7
"C. Miller, E. de Souza, S. Lyttle, A. McCoughtry, S. Lehning",ATL,14,113.3,100.0
"D. Nolan, C. Ford, K. Braxton, A. Hornbuckle, S. Zellous",DET,14,88.9,50.0
"D. Nolan, K. Braxton, A. Hornbuckle, C. Kelly, S. Zellous",DET,14,111.8,81.8
"D. Nolan, K. Braxton, A. Hornbuckle, O. Sanni, S. Zellous",DET,14,83.3,89.3
"D. Walker, H. Maiga-Ba, K. Lawson, N. Powell, C. Paris",SAC,14,112.0,126.9
"K. Sharp, E. Thorn, S. Ely-Gash, C. Dupree, S. Fowles",CHI,14,60.0,77.4
"K. Sharp, E. Thorn, S. Ely-Gash, C. Nan, A. Herrington",CHI,14,96.6,96.4
"K. Smith, T. McWilliams-Franklin, A. DeForge, D. Nolan, K. Braxton",DET,14,106.7,60.7
"K. Smith, T. McWilliams-Franklin, D. Nolan, C. Ford, K. Haynie",DET,14,82.8,114.8
"L. Jackson, S. Bird, S. Cash, K. Gearlds, C. Little",SEA,14,108.0,79.3
"L. Leslie, T. Thompson, D. Milton-Jones, M. Ferdinand-Harris, N. Quinn",LAS,14,100.0,90.3
"L. Moore, A. Battle, T. Jackson-Jones, S. Spencer, K. Vaughn",NYL,14,69.2,133.3
"S. Augustus, C. Wiggins, N. Anosike, L. Sanders, R. Montgomery",MIN,14,142.9,62.1
"S. Christon, A. Battle, C. Kraayeveld, T. Jackson-Jones, L. Mitchell",NYL,14,103.7,71.4
"S. Christon, J. McCarville, A. Battle, T. Jackson-Jones, L. Mitchell",NYL,14,88.5,96.6
"S. Christon, J. McCarville, L. Moore, A. Battle, K. Vaughn",NYL,14,76.9,81.5
"T. Dixon, T. Catchings, K. Douglas, E. Hoffman, B. January",IND,14,137.5,93.8
"T. Humphrey, C. Wiggins, Q. Hollingsworth, R. McCants, R. Montgomery",MIN,14,116.0,131.0
"T. Penicheiro, D. Walker, H. Maiga-Ba, N. Powell, L. Harper",SAC,14,69.0,75.0
"T. Sutton-Brown, T. Catchings, K. Douglas, J. Moore, B. January",IND,14,44.1,80.6
