,Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%,Year
102,MARINE JOHANNÈS,NYL,29,0.6,0.7,80.8,0.1,0.1,40.0,0.3,0.9,31.3,0.2,0.7,36.8,0.2,0.3,50.0,1.3,3.5,36.4,2023
103,MAYA CALDWELL,IND,25,0.2,0.6,33.3,0.1,0.2,28.6,0.3,0.6,50.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.8,16.7,2023
104,MEGAN GUSTAFSON,PHO,27,1.4,2.0,72.1,0.8,1.8,45.0,0.3,0.7,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,35.7,2023
105,MERCEDES RUSSELL,SEA,28,1.1,1.5,73.2,0.8,1.9,40.6,0.3,0.8,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
106,MICHAELA ONYENWERE,PHO,24,1.1,2.0,55.7,1.0,2.3,42.9,0.3,1.0,29.3,0.1,0.3,23.1,0.1,0.3,25.0,0.7,2.2,33.7,2023
107,MONIQUE BILLINGS,ATL,28,1.1,2.0,55.1,0.2,1.3,18.4,0.4,0.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2023
108,MORGAN BERTSCH,CHI,27,0.6,0.9,64.0,0.2,0.6,35.3,0.3,0.9,36.0,0.1,0.3,50.0,0.1,0.1,100,0.4,1.0,41.4,2023
109,MORIAH JEFFERSON,PHO,30,0.9,1.6,54.0,1.4,3.0,48.3,0.9,2.4,39.4,0.1,0.3,33.3,0.1,0.2,50.0,0.8,2.4,34.4,2023
110,MYISHA HINES-ALLEN,WAS,29,0.7,1.7,42.4,0.7,1.8,35.9,0.2,0.7,26.9,0.0,0.1,33.3,0.0,0.2,20.0,0.5,1.7,27.6,2023
111,NALYSSA SMITH,IND,23,3.0,4.6,65.0,1.6,3.7,44.7,0.8,2.3,35.7,0.0,0.1,33.3,0.0,0.1,33.3,0.5,2.0,27.9,2023
112,NAPHEESA COLLIER,MIN,27,3.2,4.7,66.9,2.7,5.4,49.5,1.3,3.4,37.9,0.0,0.0,0.0,0.0,0.0,100,0.9,3.0,29.5,2023
113,NATASHA CLOUD,WAS,32,1.4,2.4,59.6,0.9,2.5,34.4,0.5,1.7,30.6,0.1,0.1,66.7,0.0,0.0,0.0,1.2,3.9,29.9,2023
114,NATASHA HOWARD,DAL,32,3.4,5.1,67.5,1.5,3.6,41.0,0.5,1.9,25.0,0.2,0.3,60.0,0.0,0.1,50.0,0.8,2.9,27.2,2023
115,NATISHA HIEDEMAN,CON,27,0.7,1.2,58.3,0.5,1.5,30.5,0.5,1.2,39.1,0.2,0.4,53.3,0.0,0.2,0.0,1.3,3.4,37.2,2023
116,NAZ HILLMON,ATL,24,1.3,2.0,63.3,0.1,0.5,25.0,0.1,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
117,NIA CLOUDEN,LAS,24,0.4,0.4,100,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,33.3,2023
118,NIA COFFEY,ATL,29,0.6,1.2,52.6,0.4,1.1,37.1,0.5,1.2,45.9,0.0,0.2,20.0,0.0,0.2,16.7,1.0,2.3,43.7,2023
119,NIKOLINA MILIĆ,MIN,30,1.4,2.4,57.9,0.5,1.4,33.9,0.2,0.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,38.1,2023
120,NNEKA OGWUMIKE,LAS,33,3.6,4.8,74.1,1.8,4.4,40.0,1.4,3.3,41.7,0.0,0.0,0.0,0.1,0.2,33.3,0.5,1.5,34.5,2023
121,NYARA SABALLY,NYL,24,0.6,1.0,60.0,0.2,0.6,27.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,28.6,2023
122,ODYSSEY SIMS,DAL,31,0.3,0.9,34.6,0.3,0.8,36.4,0.1,0.2,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.5,14.3,2023
123,OLIVIA NELSON-ODODA,CON,23,1.1,1.9,57.5,0.4,0.9,43.2,0.2,0.3,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
124,QUEEN EGBO,WAS,24,1.3,2.2,59.0,0.5,1.2,43.2,0.3,0.7,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
125,RACHEL BANHAM,MIN,30,0.1,0.3,37.5,0.2,0.5,46.7,0.3,1.1,22.9,0.0,0.2,25.0,0.0,0.1,50.0,1.3,3.2,41.0,2023
126,RAE BURRELL,LAS,24,0.4,0.8,47.6,0.3,0.7,38.1,0.1,0.3,20.0,0.1,0.3,42.9,0.1,0.3,40.0,0.4,1.0,37.9,2023
127,REBECCA ALLEN,CON,31,0.9,1.3,72.5,0.2,0.6,31.8,0.4,1.3,26.9,0.0,0.2,16.7,0.2,0.4,46.2,0.8,2.4,34.4,2023
128,REBEKAH GARDNER,CHI,33,0.7,1.7,40.0,0.3,1.0,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,60.0,2023
129,RHYNE HOWARD,ATL,24,1.1,1.8,59.2,0.9,2.6,36.0,1.3,3.5,36.3,0.1,0.2,22.2,0.1,0.2,25.0,2.4,6.6,36.8,2023
130,ROBYN PARKS,CHI,31,0.2,0.4,43.8,0.2,0.4,40.0,0.2,0.6,38.1,0.3,0.7,42.1,0.0,0.0,0.0,0.6,1.8,35.3,2023
131,RUTHY HEBARD,CHI,26,0.9,1.7,56.7,0.6,0.9,62.5,0.2,0.4,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
132,SABRINA IONESCU,NYL,26,1.1,2.1,54.1,0.6,1.8,33.3,0.1,1.0,14.3,0.2,0.4,40.0,0.1,0.2,80.0,3.3,7.4,44.5,2023
133,SAM THOMAS,PHO,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,2023
134,SAMI WHITCOMB,SEA,35,0.6,0.9,62.2,0.2,0.8,29.0,0.2,0.5,33.3,0.1,0.3,27.3,0.2,0.4,46.2,2.0,5.1,39.4,2023
135,SATOU SABALLY,DAL,26,2.4,3.9,60.0,1.1,3.1,35.3,1.1,2.5,41.7,0.0,0.1,0.0,0.2,0.2,62.5,1.6,4.4,36.3,2023
136,SHAKIRA AUSTIN,WAS,23,2.7,4.1,65.4,1.1,2.7,38.5,0.3,1.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
