,player,team,position,gamesPlayed,minutesPlayed,gamesStarted,fieldGoals,fieldGoalAttempts,fieldGoalPercentage,threePointers,threePointAttempts,threePointPercentage,twoPointers,twoPointAttempts,twoPointPercentage,freeThrows,freeThrowAttempts,freeThrowPercentage,offensiveReb,totalReb,assists,steals,blocks,turnovers,personalFouls,points,year,shotAttempts,pointsPerShot
1262,Tina Charles,NYL,C,34,1095,34,12.4,28.1,0.442,1.1,3.3,0.348,11.3,24.8,0.454,5.8,7.2,0.804,3.3,15.1,4.1,1.3,1.1,3.8,3.5,31.8,2017,31.3,1.01597
1264,Karima Christmas-Kelly,DAL,F-G,34,1011,34,4.9,12.9,0.38,1.3,4.4,0.292,3.6,8.5,0.425,6.2,7.3,0.851,2.8,7.0,3.7,2.0,0.3,2.8,4.9,17.3,2017,16.1,1.07453
1265,Layshia Clarendon,ATL,G,34,1014,33,6.8,17.9,0.378,0.5,3.0,0.18,6.2,14.9,0.419,4.0,4.5,0.879,1.5,6.3,11.2,1.6,0.1,4.5,4.8,18.1,2017,19.9,0.90955
1266,Alysha Clark,SEA,F,33,934,33,5.9,11.2,0.525,1.2,3.7,0.328,4.7,7.5,0.622,2.1,2.8,0.745,1.8,7.7,3.0,1.3,0.2,1.8,4.4,15.1,2017,12.4,1.21774
1267,Natasha Cloud,WAS,G,24,448,0,4.3,13.7,0.314,1.4,5.9,0.235,2.9,7.8,0.373,2.3,3.1,0.741,0.8,6.9,8.0,2.0,0.3,2.7,4.5,12.3,2017,15.1,0.81457
1269,Marissa Coleman,IND,G-F,34,636,23,4.5,13.8,0.327,2.3,7.2,0.322,2.2,6.7,0.333,2.5,3.0,0.833,0.7,5.7,2.8,0.8,0.4,3.2,3.4,13.8,2017,15.1,0.91391
1272,Kahleah Copper,CHI,G-F,34,485,10,8.9,19.1,0.465,1.0,3.5,0.294,7.9,15.7,0.503,4.5,5.4,0.83,1.1,6.8,1.3,1.1,0.2,2.9,5.6,23.3,2017,21.5,1.08372
1273,Damiris Dantas,ATL,F,34,614,2,8.3,21.3,0.392,2.1,8.0,0.265,6.2,13.3,0.469,2.7,3.5,0.767,2.7,9.9,1.9,1.4,1.6,2.3,6.5,21.5,2017,22.8,0.94298
1274,Kaela Davis,DAL,F,33,511,0,6.6,17.0,0.389,1.5,3.4,0.429,5.2,13.6,0.379,4.8,6.3,0.754,1.0,4.5,3.2,1.6,0.3,4.9,5.4,19.4,2017,19.8,0.9798
1275,Elena Delle Donne,WAS,F-G,25,758,25,10.9,22.2,0.494,2.3,5.8,0.388,8.7,16.3,0.532,9.8,10.3,0.953,2.7,11.6,2.8,1.4,2.5,2.6,3.4,33.9,2017,26.7,1.26966
1278,Skylar Diggins-Smith,DAL,G,34,1162,34,8.2,19.5,0.422,2.1,6.0,0.35,6.1,13.5,0.454,8.3,9.3,0.894,1.0,5.0,8.5,1.9,1.2,4.0,3.4,26.8,2017,23.6,1.13559
1279,Stefanie Dolson,CHI,C,33,968,33,9.9,17.7,0.561,1.6,3.6,0.437,8.4,14.1,0.593,3.1,3.5,0.87,2.2,9.9,4.4,0.9,2.2,4.2,6.1,24.5,2017,19.2,1.27604
1280,Candice Dupree,IND,F,33,1049,33,10.7,21.6,0.494,0.0,0.1,0.0,10.7,21.5,0.497,3.3,3.8,0.882,1.7,9.5,2.7,1.5,0.7,2.2,3.1,24.7,2017,23.3,1.06009
1284,Sylvia Fowles,MIN,C,34,1048,34,12.4,19.0,0.655,0.0,0.0,,12.4,19.0,0.655,6.6,8.7,0.768,6.0,17.3,2.5,2.2,3.3,4.1,4.5,31.5,2017,22.8,1.38158
1287,Allisha Gray,DAL,G,34,924,34,8.1,21.2,0.381,1.9,6.3,0.299,6.2,14.9,0.415,5.7,7.1,0.803,3.0,7.2,2.4,2.8,1.1,2.3,3.8,23.7,2017,24.3,0.97531
1288,Chelsea Gray,LAS,G,34,1125,34,8.4,16.7,0.507,2.4,5.0,0.482,6.0,11.6,0.518,3.7,4.5,0.827,1.0,5.2,6.9,1.7,0.4,3.0,3.4,23.0,2017,18.7,1.22995
1289,Brittney Griner,PHO,C,26,820,26,12.8,22.3,0.577,0.0,0.0,,12.8,22.3,0.577,9.6,11.8,0.812,2.8,12.3,3.0,1.1,4.0,4.0,5.5,35.3,2017,27.5,1.28364
1291,Jazmon Gwathmey,IND,G,28,478,7,6.8,18.8,0.36,1.4,6.0,0.236,5.4,12.8,0.419,3.9,5.3,0.75,1.8,6.0,2.3,1.5,2.4,3.9,8.5,19.0,2017,21.1,0.90047
1292,Dearica Hamby,SAS,F,34,686,3,7.6,16.6,0.457,0.2,0.6,0.375,7.4,16.0,0.46,4.7,7.7,0.608,3.8,10.9,2.6,2.2,0.7,3.5,5.5,20.1,2017,20.0,1.005
1296,Isabelle Harrison,SAS,F,34,906,33,9.4,18.7,0.5,0.1,0.1,0.5,9.3,18.6,0.5,3.5,5.5,0.635,4.1,12.4,2.8,1.6,1.4,3.9,5.9,22.3,2017,21.1,1.05687
